1;1000A002;Pancasila dan Kewarganegaraan;3;2019-2020 Gasal;A
2;1000A007;Pendidikan Agama Budha;3;2020-2021 Genap;AB
3;1600A001;Penulisan dan Presentasi Ilmiah;3;2019-2020 Genap;B
4;1600A002;Bahasa Inggris;2;2019-2020 Gasal;AB
5;1600A104;Matematika;4;2019-2020 Gasal;AB
6;1604A011;Algoritma dan Pemrograman;6;2019-2020 Gasal;A
7;1604A012;Pengantar Informatika;2;2019-2020 Gasal;A
8;1604A013;Organisasi dan Arsitektur Komputer;2;2019-2020 Gasal;B
9;1604A021;Pemrograman Berorientasi Objek;6;2019-2020 Genap;A
10;1604A022;Sistem Operasi;3;2019-2020 Genap;AB
11;1604A023;Matematika Diskrit;3;2019-2020 Genap;B
12;1604B024;Human Computer Interaction;2;2020-2021 Gasal;A
13;1604B031;Data Structure;3;2020-2021 Gasal;A
14;1604B032;Computer Network;3;2020-2021 Gasal;AB
15;1604B034;Software Engineering;5;2020-2021 Gasal;A
16;1604B035;Statistics;3;2020-2021 Gasal;B
17;1604B041;Numerical Methods;2;2020-2021 Genap;A
18;1604B042;AI Fundamental;3;2020-2021 Genap;A
19;1604B043;Web Programming;3;2020-2021 Genap;A
20;1604B044;Distributed Programming;3;2020-2021 Gasal;A
21;1604B045;Information Security and Assurance;3;2020-2021 Genap;A
22;1604B046;Data Science Programming;3;2020-2021 Genap;A
23;1604B131;Management Information Systems;3;2020-2021 Gasal;A
24;1604B151;Database Management;3;2020-2021 Genap;A
25;1604C051;Full-Stack Programming;3;2021-2022 Gasal;A
26;1604C052;Native Mobile Programming;3;2021-2022 Gasal;A
27;1604C054;Hybrid Mobile Programming;3;2021-2022 Gasal;A
28;1604C055;Machine Learning;3;2021-2022 Gasal;AB
29;1604C056;Physically Based Animation;3;2021-2022 Gasal;A
30;1604C061;Leadership and Professional Ethics;2;2021-2022 Genap;AB
31;1604C062;Advanced Native Mobile Programming;3;2021-2022 Genap;A
32;1604C063;Web Framework Programming;3;2021-2022 Genap;A
33;1604C141;Applied Database;3;2021-2022 Genap;A
34;1604C161;SCM Accounting System;3;2021-2022 Gasal;A
35;1604C162;Enterprise System Implementation;3;2021-2022 Gasal;AB
36;1604C19B;Special Topics in Software Engineering;3;2021-2022 Genap;A
37;1604C19H;Emerging Technology;3;2022-2023 Gasal;A
38;1604C29D;Special Topics in GD;3;2022-2023 Gasal;A
39;1604C362;Intelligent Information Retrieval;3;2022-2023 Gasal;A
40;1604C39B;Decision Support Systems;3;2021-2022 Genap;A
41;1604Z001;Kewirausahaan dan Inovasi;3;2021-2022 Genap;AB
42;1607A021;Basis Data;4;2019-2020 Genap;B
43;1607A031;Pemrograman Basis Data;2;2020-2021 Gasal;A
44;1607C09C;System Testing & Implementation;3;2022-2023 Gasal;A